------------------------------------------------------------
 Current - Vd = 0.05 V
------------------------------------------------------------
Voltage (V), Current (A)
         0.887179487,       0.000729455972
         0.915384615,       0.000743113032
         0.943589744,       0.000756438079
         0.971794872,       0.000769450943
                   1,       0.000782176627

------------------------------------------------------------
 Current - Vd = 0.5 V
------------------------------------------------------------
Voltage (V), Current (A)
               -0.05,        0.00016969361
              -0.075,       0.000157010277
                -0.1,       0.000145311982
       -0.0717948718,       0.000158584143
       -0.0435897436,       0.000173124081
       -0.0153846154,       0.000189140685
        0.0128205128,       0.000206508638
         0.041025641,        0.00022501012
        0.0692307692,       0.000244403067
        0.0974358974,       0.000264398576
         0.111538462,       0.000274479931
         0.118589744,       0.000279524166
         0.122115385,       0.000282046387
         0.123878205,       0.000283307495
         0.125641026,       0.000284568093
          0.13974359,       0.000294635798
         0.153846154,       0.000304664016
         0.182051282,       0.000324567151
         0.196153846,       0.000334427314
          0.21025641,       0.000344231657
         0.238461538,       0.000363762069
         0.252564103,       0.000373544581
         0.266666667,       0.000383362523
         0.273717949,        0.00038828872
         0.280769231,       0.000393225778
         0.287820513,        0.00039817955
         0.294871795,       0.000403152386
         0.323076923,       0.000423228248
         0.351282051,       0.000443665442
         0.379487179,       0.000464501134
         0.407692308,       0.000485736644
         0.435897436,       0.000507328634
         0.464102564,       0.000529260917
         0.492307692,       0.000551494962
         0.520512821,       0.000573956765
         0.548717949,        0.00059656421
         0.576923077,       0.000619312448
         0.605128205,       0.000642149114
         0.633333333,       0.000665017262
         0.661538462,        0.00068783781
          0.68974359,       0.000710525751
         0.717948718,       0.000732995513
         0.746153846,       0.000755154847
         0.774358974,       0.000776911661
         0.802564103,       0.000798192776
         0.830769231,       0.000818944584
         0.858974359,       0.000839094107
         0.887179487,        0.00085861156
         0.915384615,       0.000877461011
         0.943589744,       0.000895627808
         0.971794872,       0.000913119852
                   1,         0.0009299646

